model,key,roc_auc,average_precision,log_loss,brier_score,brier_skill_score,expected_calibration_error,calibration_slope,calibration_intercept,mean_predicted_probability,max_predicted_probability,train_roc_auc,train_log_loss,n_features,n_trees,fit_seconds,predict_seconds_test,model_size_mb,delta_roc_auc,rel_roc_auc_pct,delta_average_precision,rel_average_precision_pct,delta_log_loss,rel_log_loss_pct,delta_brier_score,rel_brier_score_pct,delta_expected_calibration_error,delta_vs_lr_roc_auc,delta_vs_lr_average_precision,delta_vs_lr_log_loss,delta_vs_lr_brier_score
Logistic Regression,logistic_regression,0.7504123473248321,0.23531823859611234,0.24820499894091352,0.06821592765037675,0.08078162815222578,0.00209046635246218,1.0055614798543702,0.014821161387732831,0.08050885907953925,0.7443492163670583,0.7512281138833393,0.24840730448895468,312,,32.1,1.729,0.027,-0.011787810225008188,-1.5465504839176556,-0.01848746931428391,-7.284103051303614,0.0036485342872703275,1.4918985243091487,0.0008251137769203915,1.2243712896386079,-0.00010657486248133886,0.0,0.0,0.0,0.0
LightGBM,lightgbm,0.7622001575498403,0.25380570791039625,0.2445564646536432,0.06739081387345636,0.0919001420936798,0.002197041214943519,1.0219653872031174,0.0490888072504058,0.08050963380726124,0.7844288296593647,0.8027062854738106,0.23288326475510512,120,1380.0,37.21,2.619,2.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011787810225008188,0.01848746931428391,-0.0036485342872703275,-0.0008251137769203915
LightGBM + history,lightgbm_relational,0.7899810399422296,0.29483454853746416,0.23532469484284183,0.06530621104827788,0.11999043245417806,0.002095607187655574,1.0016524009447012,0.011741390172654237,0.08016318869308839,0.8915511432300003,0.859567362208826,0.20962460583484988,291,2625.0,154.04,4.708,4.867,0.027780882392389294,3.6448276895787313,0.04102884062706791,16.16545229217333,-0.009231769810801371,-3.7749032003206318,-0.002084602825178472,-3.0933041246435335,-0.00010143402728794498,0.03956869261739748,0.05951630994135182,-0.012880304098071699,-0.0029097166020988635
