model,key,roc_auc,average_precision,log_loss,brier_score,brier_skill_score,expected_calibration_error,calibration_slope,calibration_intercept,mean_predicted_probability,max_predicted_probability,train_roc_auc,train_log_loss,n_features,n_trees,fit_seconds,predict_seconds_test,model_size_mb,delta_roc_auc,rel_roc_auc_pct,delta_average_precision,rel_average_precision_pct,delta_log_loss,rel_log_loss_pct,delta_brier_score,rel_brier_score_pct,delta_expected_calibration_error
Logistic Regression,logistic_regression,0.7504123473248321,0.23531823859611234,0.24820499894091352,0.06821592765037675,0.08078162815222578,0.00209046635246218,1.0055614798543702,0.014821161387732831,0.08050885907953925,0.7443492163670583,0.7512281138833393,0.24840730448895468,312,,32.1,0.559,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,lightgbm,0.7622001575498403,0.25380570791039625,0.2445564646536432,0.06739081387345636,0.0919001420936798,0.002197041214943519,1.0219653872031174,0.0490888072504058,0.08050963380726124,0.7844288296593647,0.8027062854738106,0.23288326475510512,120,1380.0,37.21,1.86,2.552,0.011787810225008188,1.5708443853610503,0.01848746931428391,7.856369070488759,-0.0036485342872703275,-1.4699680920362446,-0.0008251137769203915,-1.2095617626858357,0.00010657486248133886
XGBoost,xgboost,0.7617169437895897,0.2521844255254825,0.24470834817040527,0.06742854879945971,0.09139165912735003,0.002290597475804918,1.0179677302318089,0.04194791775917785,0.08042695172223023,0.8020240068435669,0.7884903552897949,0.23716542261412685,120,1140.0,35.44,0.844,1.515,0.011304596464757566,1.5064512870900468,0.01686618692937014,7.167394686443478,-0.0034966507705082583,-1.4087753209759704,-0.0007873788509170365,-1.1542448780474628,0.00020013112334273803
