trial_id,library,stage,description,heavy_tail,missing_indicators,n_features,n_trees,early_stopped,fit_seconds,val_roc_auc,val_average_precision,val_log_loss,val_brier_score,val_brier_skill_score,val_expected_calibration_error,val_calibration_slope,val_calibration_intercept,val_mean_predicted_probability,train_roc_auc,train_average_precision,train_log_loss,train_brier_score,params_json
logistic_regression-ref,logistic_regression,reference,Milestone 1 baseline pipeline refitted on the fit subset,none,all,312,,,19.99,0.7442817665288681,0.22165984182957416,0.25049282605834255,0.06882237228736324,0.0726165862127165,0.0025775137967528616,0.9569750111689377,-0.08586452063702497,0.08037879519388329,0.7525679036772592,0.230568719556865,0.2480297683295259,0.06832079836282785,"{""C"": 1.0, ""solver"": ""lbfgs"", ""penalty"": ""l2""}"
lightgbm-01,lightgbm,initial,starting configuration,none,none,120,370.0,True,8.51,0.7529334737368968,0.23439441776814574,0.24781751469340915,0.06825848900138055,0.08021492944547703,0.0044945241549712005,0.9523320458012693,-0.08751570426123753,0.07986549650449283,0.842098681668105,0.37863890514326287,0.21963366431712633,0.06184013890922858,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 31, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-02,lightgbm,search:num_leaves,num_leaves=15,none,none,120,441.0,True,9.71,0.7535486466285444,0.235797783736073,0.24761959169495304,0.06818947852412142,0.08114484757908091,0.003091087848927,0.9709090845674584,-0.0550516103381997,0.08031290503713573,0.8090581762033436,0.3153521457105264,0.23090446410707433,0.06452576178266488,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-03,lightgbm,search:num_leaves,num_leaves=63,none,none,120,210.0,True,9.64,0.7520568643337766,0.23292340977498097,0.24821359640327426,0.06834508368501402,0.07904806363346284,0.0037240668638277214,0.9545512306458476,-0.08151535774605116,0.07975289829799097,0.8558247884457723,0.4148443216448315,0.2146505448970082,0.06050284342391564,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 63, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-04,lightgbm,search:min_child_samples,min_child_samples=20,none,none,120,452.0,True,6.67,0.7522697351502525,0.23536213038670623,0.2478974138592722,0.06821747927212433,0.08076753670750692,0.0029044544766224844,0.9696844123627755,-0.056130344522413174,0.08020054179993022,0.8114087999167766,0.3203272948646646,0.23017353914549066,0.06434878957144169,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-05,lightgbm,search:min_child_samples,min_child_samples=500,none,none,120,575.0,True,7.96,0.7537882800652544,0.2368049292897539,0.24746646240527714,0.0681423252369894,0.08178023945730906,0.0032497083655447625,0.9557940855343109,-0.08478059635046471,0.08018991388212429,0.8163019517992087,0.3287543139828029,0.22819813183564647,0.06389251934888286,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-06,lightgbm,search:colsample_bytree,colsample_bytree=0.3,none,none,120,611.0,True,10.96,0.7547062635441235,0.23708597959511496,0.24732248846742438,0.06813395023465868,0.08189309285067248,0.0038245752906806135,0.9684024828565291,-0.05957171753929896,0.08026635823331395,0.8089209957325506,0.3126542659715583,0.23092019396510433,0.06457636150598373,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-07,lightgbm,search:colsample_bytree,colsample_bytree=0.5,none,none,120,570.0,True,12.77,0.7543796293265772,0.23774453580737367,0.24728541139404658,0.06809930746592378,0.08235990513953495,0.0035264702806688353,0.9675377220066804,-0.061983912399293066,0.08031115607298836,0.8112246083076344,0.31800428142586806,0.23006662019445165,0.0643492826329684,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-08,lightgbm,search:subsample,subsample=0.6,none,none,120,558.0,True,13.52,0.7539821587726958,0.23773823639679198,0.24740848434787052,0.06813197121773545,0.08191976015970592,0.0030158465861251154,0.9635187137228968,-0.06976181053515601,0.0802590784716293,0.8090021747457664,0.3126137149527071,0.230862241788526,0.06454789786742424,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.6, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-09,lightgbm,search:subsample,subsample=1.0,none,none,120,583.0,True,12.98,0.753817380518371,0.23753483738971976,0.24740190886382257,0.0681124414900995,0.08218292379216174,0.002488535702368849,0.965780800165052,-0.06588799499442617,0.0803253593194655,0.8129244566902598,0.32044790909927495,0.22956018770381556,0.064247196679724,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-10,lightgbm,search:reg_lambda,reg_lambda=0.0,none,none,120,587.0,True,13.35,0.7541815258211416,0.23744574227693757,0.2473768840009713,0.06812943730079947,0.08195390476211128,0.004041972864195316,0.9651360556342797,-0.06562887073674353,0.08021120796506752,0.8132023567742301,0.32160706145281476,0.22940528264172808,0.06419169039697088,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-11,lightgbm,search:reg_lambda,reg_lambda=10.0,none,none,120,564.0,True,12.98,0.7539866340527847,0.23819481367164308,0.24734948144527785,0.06809693666771036,0.08239185171253871,0.0039352371063017585,0.9665557757029017,-0.06274083211127401,0.08021878104238589,0.8074905194679787,0.31406434272673595,0.23111048705560228,0.06454455688984401,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-12,lightgbm,search:learning_rate,learning_rate=0.02,none,none,120,1380.0,True,26.76,0.7546842934812982,0.23795016212021625,0.2471745094112423,0.0680835467506748,0.0825722812234384,0.0034988812802201545,0.9734496313632462,-0.04937856031997589,0.08029869480403033,0.8114152064150577,0.3185206829776683,0.23008481491413058,0.06435201443918741,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-13,lightgbm,ablation:heavy_tail,log1p,log1p,none,120,1380.0,True,27.98,0.7546842934812982,0.23795016212021625,0.2471745094112423,0.0680835467506748,0.0825722812234384,0.0034988812802201545,0.9734496313632462,-0.04937856031997589,0.08029869480403033,0.8114152064150577,0.3185206829776683,0.23008481491413058,0.06435201443918741,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-14,lightgbm,ablation:heavy_tail,winsorize,winsorize,none,120,1141.0,True,16.42,0.7542358192066998,0.23759603588171652,0.24730789955035648,0.06810701771687334,0.08225600928984078,0.0032351968884417014,0.9775609260164885,-0.0407258609478898,0.08029368684869406,0.8037915642614967,0.3068211700312739,0.23249721049025474,0.0648809001816944,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-15,lightgbm,ablation:missing_indicators,all,none,all,182,1347.0,True,36.08,0.7545123013426508,0.23834368721874896,0.24720562552898095,0.06807230576788055,0.08272375378463581,0.003294707823057301,0.9716988652480741,-0.05222782430569007,0.08024107153863973,0.8102497706198778,0.3167717648995723,0.2304250773078146,0.06442808516963924,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
lightgbm-16,lightgbm,ablation:missing_indicators,deduplicated,none,deduplicated,146,1553.0,True,20.44,0.7553300697186296,0.2395087246096088,0.24698058098583264,0.06802310922553463,0.08338667858468185,0.002911627531692114,0.9725424519497969,-0.049314021139604106,0.08016653159529329,0.8164174187112884,0.3262286109516567,0.22846030746736368,0.06399360600113707,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 500, ""n_estimators"": 5000, ""n_jobs"": 6, ""num_leaves"": 15, ""objective"": ""binary"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1, ""verbose"": 0}"
xgboost-01,xgboost,initial,starting configuration,none,none,120,219.0,True,30.93,0.7502826189472671,0.23177433990005503,0.24845088485346403,0.06835374504905029,0.07893135150801522,0.004354943427326368,0.9671254194933243,-0.055910087384831046,0.07981567164326575,0.8265827392987383,0.3625364345816411,0.22441115585351964,0.06279579973417669,"{""colsample_bytree"": 0.8, ""enable_categorical"": true, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 5000, ""n_jobs"": 6, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 1}"
xgboost-02,xgboost,search:max_depth,max_depth=3,none,none,120,768.0,True,55.83,0.7542165654830331,0.23595046235809886,0.24743330012852008,0.06815355802010357,0.08162887738703262,0.002957907019404395,0.9718472875823542,-0.05189357217426886,0.08023244256152397,0.7937409353006838,0.29531467997856425,0.23525978503024111,0.06545562552139537,"{""colsample_bytree"": 0.8, ""enable_categorical"": true, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 5000, ""n_jobs"": 6, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 1}"
xgboost-03,xgboost,search:max_depth,max_depth=4,none,none,120,634.0,True,52.43,0.7526713442249627,0.23620606131304905,0.2477784730107462,0.06819052863552318,0.08113069729823119,0.0036255606611231934,0.9529591615258093,-0.08871090515240262,0.08004412534386328,0.8144774670190198,0.33240429238895547,0.22834087289157154,0.06384216767736126,"{""colsample_bytree"": 0.8, ""enable_categorical"": true, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 5000, ""n_jobs"": 6, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 1}"
